abrir	abres/abrís
acceder	accedes/accedés
adoptar	adoptas/adoptás
apoyar	apoyas/apoyás
beber	bebes/bebés
cantar	cantas/cantás
cerrar	cierras/cerrás
comenzar	comienzas/comenzás
comer	comes/comés
completar	completas/completás
convertir	conviertes/convertís
creer	crees/creés
decir	dices/decís
definir	defines/definís
desarrollar	desarrollas/desarrollás
describir	describes/describís
designar	designas/designás
destacar	destacas/destacás
encontrar	encuentras/encontrás
entrar	entras/entrás
escapar	escapas/escapás
escuchar	escuchas/escuchás
esperar	esperas/esperás
limitar	limitas/limitás
mejorar	mejoras/mejorás
necesitar	necesitas/necesitás
observar	observas/observás
pagar	pagas/pagás
participar	participas/participás
pedir	pides/pedís
perder	pierdes/perdés
permanecer	permaneces/permanecés
poner	pones/ponés
preguntar	preguntas/preguntás
promover	promueves/promovés
proporcionar	proporcionas/proporcionás
proteger	proteges/protegés
publicar	publicas/publicás
recibir	recibes/recibís
recordar	recuerdas/recordás
recuperar	recuperas/recuperás
reemplazar	reemplazas/reemplazás
responder	respondes/respondés
sacar	sacas/sacás
satisfacer	satisfaces/satisfacés
sumar	sumas/sumás
tratar	tratas/tratás
visitar	visitas/visitás
volver	vuelves/volvés
votar	votas/votás
