abrimos	abrieron
aceleramos	aceleraron
acordamos	acordaron
asumimos	asumieron
atendemos	atendieron
bebemos	bebieron
cantamos	cantaron
compramos	compraron
concluimos	concluyeron
consultamos	consultaron
continuamos	continuaron
contribuimos	contribuyeron
controlamos	controlaron
cooperamos	cooperaron
creemos	creyeron
descargamos	descargaron
describimos	describieron
eliminamos	eliminaron
establecemos	establecieron
explicamos	explicaron
fallamos	fallaron
financiamos	financiaron
gastamos	gastaron
gestionamos	gestionaron
habilitamos	habilitaron
incorporamos	incorporaron
instalamos	instalaron
introducimos	introdujeron
jugamos	jugaron
miramos	miraron
necesitamos	necesitaron
observamos	observaron
operamos	operaron
partimos	partieron
permitimos	permitieron
recogemos	recogieron
reforzamos	reforzaron
representamos	representaron
requerimos	requirieron
seguimos	siguieron
sentimos	sintieron
sobrevivimos	sobrevivieron
solicitamos	solicitaron
sumamos	sumaron
supervisamos	supervisaron
terminamos	terminaron
tomamos	tomaron
venimos	vinieron
volamos	volaron
votamos	votaron
