abandonamos	abandonaba
actuamos	actuaba
animamos	animaba
aparecemos	aparecía
aprendemos	aprendía
aseguramos	aseguraba
asistimos	asistía
bebemos	bebía
casamos	casaba
comenzamos	comenzaba
comemos	comía
demostramos	demostraba
ejecutamos	ejecutaba
elegimos	elegía
eliminamos	eliminaba
encontramos	encontraba
estudiamos	estudiaba
explicamos	explicaba
facilitamos	facilitaba
firmamos	firmaba
fomentamos	fomentaba
impedimos	impedía
implicamos	implicaba
incluimos	incluía
intentamos	intentaba
introducimos	introducía
vamos	iba
leemos	leía
limitamos	limitaba
llegamos	llegaba
llevamos	llevaba
lloramos	lloraba
luchamos	luchaba
manejamos	manejaba
miramos	miraba
modificamos	modificaba
ocurrimos	ocurría
olvidamos	olvidaba
organizamos	organizaba
pasamos	pasaba
permanecemos	permanecía
promovemos	promovía
proponemos	proponía
protegemos	protegía
reconocemos	reconocía
reemplazamos	reemplazaba
regresamos	regresaba
sugerimos	sugería
tocamos	tocaba
tratamos	trataba
