acepta	aceptáis
analiza	analizáis
apoya	apoyáis
atiende	atendéis
atrae	atraéis
aumenta	aumentáis
considera	consideráis
consiste	consistís
construye	construís
contribuye	contribuís
coopera	cooperáis
cree	creéis
desarrolla	desarrolláis
desempeña	desempeñáis
designa	designáis
duerme	dormís
elige	elegís
entiende	entendéis
entra	entráis
escribe	escribís
escucha	escucháis
espera	esperáis
facilita	facilitáis
falla	falláis
ha(impersonal:hay)	habéis
incorpora	incorporáis
instala	instaláis
intenta	intentáis
llama	llamáis
lleva	lleváis
localiza	localizáis
mejora	mejoráis
mira	miráis
modifica	modificáis
pasa	pasáis
permite	permitís
puede	podéis
produce	producís
queda	quedáis
reconoce	reconocéis
reduce	reducís
respeta	respetáis
sale	salís
satisface	satisfacéis
sigue	seguís
siente	sentís
toma	tomáis
viaja	viajáis
vive	vivís
vota	votáis
