abría	abriré
actuaba	actuaré
atendía	atenderé
atraía	atraeré
avanzaba	avanzaré
averiguaba	averiguaré
bailaba	bailaré
cantaba	cantaré
comenzaba	comenzaré
comía	comeré
concluía	concluiré
continuaba	continuaré
coordinaba	coordinaré
cortaba	cortaré
creaba	crearé
decía	diré
dirigía	dirigiré
disfrutaba	disfrutaré
ejercía	ejerceré
eliminaba	eliminaré
escribía	escribiré
estudiaba	estudiaré
gastaba	gastaré
gestionaba	gestionaré
habilitaba	habilitaré
imponía	impondré
incluía	incluiré
indicaba	indicaré
investigaba	investigaré
jugaba	jugaré
limpiaba	limpiaré
luchaba	lucharé
moría	moriré
obtenía	obtendré
ofrecía	ofreceré
oía	oiré
participaba	participaré
pedía	pediré
permanecía	permaneceré
proporcionaba	proporcionaré
protegía	protegeré
reemplazaba	reemplazaré
respetaba	respetaré
rompía	romperé
sacaba	sacaré
seguía	seguiré
seleccionaba	seleccionaré
sobrevivía	sobreviviré
solicitaba	solicitaré
votaba	votaré
