analizaré	analizarían
aplicaré	aplicarían
asumiré	asumirían
atraeré	atraerían
buscaré	buscarían
casaré	casarían
compraré	comprarían
conoceré	conocerían
consistiré	consistirían
correré	correrían
creeré	creerían
desempeñaré	desempeñarían
designaré	designarían
determinaré	determinarían
discutiré	discutirían
elaboraré	elaborarían
eliminaré	eliminarían
entraré	entrarían
esperaré	esperarían
evadiré	evadirían
examinaré	examinarían
formularé	formularían
fortaleceré	fortalecerían
identificaré	identificarían
indicaré	indicarían
introduciré	introducirían
invertiré	invertirían
investigaré	investigarían
involucraré	involucrarían
lograré	lograrían
lucharé	lucharían
mantendré	mantendrían
mostraré	mostrarían
ocurriré	ocurrirían
operaré	operarían
oiré	oirían
presentaré	presentarían
protegeré	protegerían
publicaré	publicarían
recordaré	recordarían
recuperaré	recuperarían
reemplazaré	reemplazarían
regresaré	regresarían
representaré	representarían
seleccionaré	seleccionarían
sentiré	sentirían
sobreviviré	sobrevivirían
superaré	superarían
supervisaré	supervisarían
terminaré	terminarían
