acepta	aceptan
anima	animan
asiste	asisten
asume	asumen
averigua	averiguan
cae	caen
combate	combaten
come	comen
compra	compran
comprueba	comprueban
considera	consideran
coordina	coordinan
crea	crean
decide	deciden
describe	describen
designa	designan
destruye	destruyen
detiene	detienen
determina	determinan
ejecuta	ejecutan
elimina	eliminan
envía	envían
financia	financian
formula	formulan
gana	ganan
hace	hacen
impone	imponen
introduce	introducen
invierte	invierten
llega	llegan
mata	matan
mide	miden
muestra	muestran
parte	parten
pone	ponen
previene	previenen
produce	producen
propone	proponen
recupera	recuperan
refiere	refieren
rompe	rompen
es	son
señala	señalan
sobrevive	sobreviven
sufre	sufren
toma	toman
trabaja	trabajan
une	unen
utiliza	utilizan
ve	ven
