aborda	abordáis
accede	accedéis
agradece	agradecéis
anima	animáis
busca	buscáis
casa	casáis
cierra	cerráis
combate	combatís
concluye	concluís
confía	confiáis
consulta	consultáis
cuenta	contáis
contiene	contenéis
contribuye	contribuís
corta	cortáis
cree	creéis
decide	decidís
defiende	defendéis
depende	dependéis
elige	elegís
entra	entráis
escapa	escapáis
espera	esperáis
establece	establecéis
explica	explicáis
formula	formuláis
ha	habéis
incluye	incluís
informa	informáis
inicia	iniciáis
introduce	introducís
invierte	invertís
va	vais
lee	leéis
lucha	lucháis
pasa	pasáis
permanece	permanecéis
pone	ponéis
proporciona	proporcionáis
protege	protegéis
queda	quedáis
recibe	recibís
recuerda	recordáis
relaciona	relacionáis
representa	representáis
revisa	revisáis
solicita	solicitáis
sufre	sufrís
trae	traéis
utiliza	utilizáis
