alentáis	alentarías
analizáis	analizarías
anunciáis	anunciarías
asistís	asistirías
asumís	asumirías
completáis	completarías
conducís	conducirías
confiáis	confiarías
confirmáis	confirmarías
conserváis	conservarías
construís	construirías
controláis	controlarías
dais	darías
definís	definirías
dependéis	dependerías
discutís	discutirías
elaboráis	elaborarías
elegís	elegirías
escapáis	escaparías
evadís	evadirías
evitáis	evitarías
financiáis	financiarías
firmáis	firmarías
formuláis	formularías
guardáis	guardarías
identificáis	identificarías
impedís	impedirías
indicáis	indicarías
instaláis	instalarías
limpiáis	limpiarías
llamáis	llamarías
mejoráis	mejorarías
mencionáis	mencionarías
olvidáis	olvidarías
pedís	pedirías
pensáis	pensarías
presentáis	presentarías
preserváis	preservarías
producís	producirías
publicáis	publicarías
recuperáis	recuperarías
reforzáis	reforzarías
representáis	representarías
respondéis	responderías
revisáis	revisarías
seleccionáis	seleccionarías
soportáis	soportarías
sugerís	sugerirías
voláis	volarías
volvéis	volverías
