abandonaría	abandonarían
abriría	abrirían
aceleraría	acelerarían
adquiriría	adquirirían
asistiría	asistirían
ayudaría	ayudarían
compraría	comprarían
confiaría	confiarían
confirmaría	confirmarían
consolidaría	consolidarían
controlaría	controlarían
cooperaría	cooperarían
decidiría	decidirían
describiría	describirían
descubriría	descubrirían
destruiría	destruirían
discutiría	discutirían
elegiría	elegirían
escaparía	escaparían
escucharía	escucharían
evaluaría	evaluarían
examinaría	examinarían
fallaría	fallarían
formaría	formarían
formularía	formularían
generaría	generarían
indicaría	indicarían
informaría	informarían
invertiría	invertirían
iría	irían
limpiaría	limpiarían
llevaría	llevarían
ofrecería	ofrecerían
parecería	parecerían
permanecería	permanecerían
preservaría	preservarían
promovería	promoverían
proporcionaría	proporcionarían
quedaría	quedarían
recibiría	recibirían
recuperaría	recuperarían
relacionaría	relacionarían
seleccionaría	seleccionarían
sobreviviría	sobrevivirían
sugeriría	sugerirían
terminaría	terminarían
trabajaría	trabajarían
usaría	usarían
utilizaría	utilizarían
volvería	volverían
