aceleraría	acelerarían
aceptaría	aceptarían
adquiriría	adquirirían
aplicaría	aplicarían
apoyaría	apoyarían
concluiría	concluirían
confirmaría	confirmarían
contendría	contendrían
daría	darían
diría	dirían
defendería	defenderían
definiría	definirían
desempeñaría	desempeñarían
destruiría	destruirían
elaboraría	elaborarían
entraría	entrarían
escribiría	escribirían
esperaría	esperarían
existiría	existirían
facilitaría	facilitarían
fallaría	fallarían
fomentaría	fomentarían
fortalecería	fortalecerían
funcionaría	funcionarían
garantizaría	garantizarían
implicaría	implicarían
incluiría	incluirían
incrementaría	incrementarían
invertiría	invertirían
llamaría	llamarían
lloraría	llorarían
manejaría	manejarían
mantendría	mantendrían
mediría	medirían
modificaría	modificarían
operaría	operarían
oiría	oirían
prevendría	prevendrían
promovería	promoverían
recordaría	recordarían
respetaría	respetarían
respondería	responderían
revisaría	revisarían
sentiría	sentirían
sumaría	sumarían
trabajaría	trabajarían
trataría	tratarían
usaría	usarían
vendería	venderían
vendría	vendrían
