abandonarás	abandonaréis
aceptarás	aceptaréis
aprenderás	aprenderéis
aprobarás	aprobaréis
aprovecharás	aprovecharéis
bailarás	bailaréis
comprobarás	comprobaréis
concluirás	concluiréis
confiarás	confiaréis
conseguirás	conseguiréis
contarás	contaréis
desarrollarás	desarrollaréis
determinarás	determinaréis
encontrarás	encontraréis
entrarás	entraréis
enviarás	enviaréis
esperarás	esperaréis
evitarás	evitaréis
existirás	existiréis
expresarás	expresaréis
fomentarás	fomentaréis
formarás	formaréis
gestionarás	gestionaréis
guardarás	guardaréis
hablarás	hablaréis
harás	haréis
indicarás	indicaréis
investigarás	investigaréis
matarás	mataréis
mostrarás	mostraréis
moverás	moveréis
observarás	observaréis
ofrecerás	ofreceréis
operarás	operaréis
pararás	pararéis
parecerás	pareceréis
pasarás	pasaréis
proveerás	proveeréis
relacionarás	relacionaréis
resolverás	resolveréis
revisarás	revisaréis
seleccionarás	seleccionaréis
solicitarás	solicitaréis
sufrirás	sufriréis
tendrás	tendréis
terminarás	terminaréis
trabajarás	trabajaréis
tratarás	trataréis
verificarás	verificaréis
visitarás	visitaréis
