abren	abrirán
acuerdan	acordarán
actúan	actuarán
adoptan	adoptarán
animan	animarán
anuncian	anunciarán
atienden	atenderán
buscan	buscarán
caen	caerán
caminan	caminarán
causan	causarán
combaten	combatirán
comparten	compartirán
completan	completarán
consolidan	consolidarán
controlan	controlarán
cooperan	cooperarán
dicen	dirán
descargan	descargarán
desempeñan	desempeñarán
detienen	detendrán
determinan	determinarán
duermen	dormirán
eligen	elegirán
eliminan	eliminarán
envían	enviarán
escuchan	escucharán
establecen	establecerán
firman	firmarán
fomentan	fomentarán
forman	formarán
gastan	gastarán
habilitan	habilitarán
identifican	identificarán
impiden	impedirán
informan	informarán
limitan	limitarán
llaman	llamarán
localizan	localizarán
obtienen	obtendrán
permanecen	permanecerán
preparan	prepararán
producen	producirán
proporcionan	proporcionarán
relacionan	relacionarán
roban	robarán
seleccionan	seleccionarán
suman	sumarán
tocan	tocarán
vienen	vendrán
