abrir	abrían
aceptar	aceptaban
alentar	alentaban
atraer	atraían
ayudar	ayudaban
cambiar	cambiaban
caminar	caminaban
causar	causaban
consistir	consistían
consolidar	consolidaban
contener	contenían
convertir	convertían
coordinar	coordinaban
cuidar	cuidaban
dar	daban
defender	defendían
demostrar	demostraban
desarrollar	desarrollaban
destacar	destacaban
determinar	determinaban
eliminar	eliminaban
enviar	enviaban
estar	estaban
estudiar	estudiaban
evaluar	evaluaban
existir	existían
facilitar	facilitaban
formular	formulaban
ganar	ganaban
generar	generaban
identificar	identificaban
implicar	implicaban
imponer	imponían
incluir	incluían
incorporar	incorporaban
incrementar	incrementaban
invertir	invertían
ir	iban
limitar	limitaban
limpiar	limpiaban
matar	mataban
necesitar	necesitaban
ocurrir	ocurrían
oír	oían
revisar	revisaban
sentar	sentaban
servir	servían
solicitar	solicitaban
vender	vendían
viajar	viajaban
