alcanza	alcanzaréis
aprovecha	aprovecharéis
atiende	atenderéis
averigua	averiguaréis
añade	añadiréis
bebe	beberéis
canta	cantaréis
casa	casaréis
combate	combatiréis
comparte	compartiréis
concluye	concluiréis
conserva	conservaréis
considera	consideraréis
coordina	coordinaréis
cuida	cuidaréis
dice	diréis
defiende	defenderéis
depende	dependeréis
determina	determinaréis
ejecuta	ejecutaréis
elabora	elaboraréis
escapa	escaparéis
escribe	escribiréis
forma	formaréis
gasta	gastaréis
gestiona	gestionaréis
ha(impersonal:hay)	habréis
habilita	habilitaréis
impone	impondréis
inicia	iniciaréis
mira	miraréis
necesita	necesitaréis
oye	oiréis
paga	pagaréis
para	pararéis
parece	pareceréis
pide	pediréis
permanece	permaneceréis
permite	permitiréis
promueve	promoveréis
propone	propondréis
recibe	recibiréis
reduce	reduciréis
refuerza	reforzaréis
requiere	requeriréis
rompe	romperéis
sienta	sentaréis
solicita	solicitaréis
supervisa	supervisaréis
vuela	volaréis
