abordaba	abordarían
abría	abrirían
accedía	accederían
agradecía	agradecerían
aseguraba	asegurarían
asumía	asumirían
avanzaba	avanzarían
bebía	beberían
buscaba	buscarían
cambiaba	cambiarían
caminaba	caminarían
cerraba	cerrarían
confirmaba	confirmarían
consideraba	considerarían
consistía	consistirían
consolidaba	consolidarían
contaba	contarían
continuaba	continuarían
decidía	decidirían
defendía	defenderían
desarrollaba	desarrollarían
descargaba	descargarían
descubría	descubrirían
desempeñaba	desempeñarían
designaba	designarían
determinaba	determinarían
entraba	entrarían
existía	existirían
había	habrían
intentaba	intentarían
luchaba	lucharían
mantenía	mantendrían
mejoraba	mejorarían
modificaba	modificarían
obtenía	obtendrían
ocurría	ocurrirían
participaba	participarían
preguntaba	preguntarían
preparaba	prepararían
prevenía	prevendrían
proponía	propondrían
quedaba	quedarían
recibía	recibirían
sacaba	sacarían
era	serían
sobrevivía	sobrevivirían
solicitaba	solicitarían
tocaba	tocarían
veía	verían
viajaba	viajarían
