aceleran	acelerarían
adquieren	adquirirían
agradecen	agradecerían
alcanzan	alcanzarían
confían	confiarían
consisten	consistirían
contienen	contendrían
corren	correrían
cubren	cubrirían
cumplen	cumplirían
deciden	decidirían
encuentran	encontrarían
escriben	escribirían
esperan	esperarían
establecen	establecerían
examinan	examinarían
existen	existirían
explican	explicarían
forman	formarían
generan	generarían
gestionan	gestionarían
hablan	hablarían
imaginan	imaginarían
implican	implicarían
imponen	impondrían
invierten	invertirían
investigan	investigarían
involucran	involucrarían
van	irían
juegan	jugarían
limitan	limitarían
matan	matarían
miran	mirarían
modifican	modificarían
parecen	parecerían
participan	participarían
pueden	podrían
ponen	pondrían
preguntan	preguntarían
promocionan	promocionarían
publican	publicarían
realizan	realizarían
recogen	recogerían
requieren	requerirían
respetan	respetarían
revisan	revisarían
sientan	sentarían
vienen	vendrían
ven	verían
vuelven	volverían
