abrimos	abriría
aceptamos	aceptaría
adquirimos	adquiriría
ampliamos	ampliaría
animamos	animaría
anunciamos	anunciaría
aparecemos	aparecería
aplicamos	aplicaría
apoyamos	apoyaría
aprobamos	aprobaría
aseguramos	aseguraría
averiguamos	averiguaría
casamos	casaría
comemos	comería
compartimos	compartiría
comprendemos	comprendería
consistimos	consistiría
construimos	construiría
crecemos	crecería
cubrimos	cubriría
definimos	definiría
demostramos	demostraría
entendemos	entendería
entramos	entraría
exploramos	exploraría
firmamos	firmaría
ganamos	ganaría
incrementamos	incrementaría
integramos	integraría
limpiamos	limpiaría
llegamos	llegaría
mantenemos	mantendría
modificamos	modificaría
mostramos	mostraría
obtenemos	obtendría
ofrecemos	ofrecería
operamos	operaría
paramos	pararía
parecemos	parecería
partimos	partiría
preguntamos	preguntaría
preparamos	prepararía
recuperamos	recuperaría
reforzamos	reforzaría
regresamos	regresaría
rompemos	rompería
salvamos	salvaría
solicitamos	solicitaría
soportamos	soportaría
volamos	volaría
