aborda	abordan
adopta	adoptan
asegura	aseguran
aumenta	aumentan
averigua	averiguan
camina	caminan
completa	completan
compra	compran
conduce	conducen
conserva	conservan
consiste	consisten
coopera	cooperan
corre	corren
da	dan
defiende	defienden
depende	dependen
desarrolla	desarrollan
determina	determinan
espera	esperan
estudia	estudian
explica	explican
facilita	facilitan
firma	firman
gana	ganan
identifica	identifican
informa	informan
invierte	invierten
llora	lloran
logra	logran
mejora	mejoran
mira	miran
mueve	mueven
organiza	organizan
para	paran
parece	parecen
prepara	preparan
presta	prestan
promueve	promueven
provee	proveen
publica	publican
recibe	reciben
recuerda	recuerdan
refiere	refieren
respeta	respetan
responde	responden
sigue	siguen
siente	sienten
es	son
soporta	soportan
trabaja	trabajan
