adopto	adopta
apoyo	apoya
aprovecho	aprovecha
atraigo	atrae
avanzo	avanza
averiguo	averigua
comienzo	comienza
concluyo	concluye
conduzco	conduce
consolido	consolida
coopero	coopera
corro	corre
cubro	cubre
desempeño	desempeña
destaco	destaca
dirijo	dirige
elijo	elige
entro	entra
envío	envía
espero	espera
establezco	establece
estoy	está
estudio	estudia
evito	evita
explico	explica
expreso	expresa
facilito	facilita
financio	financia
formulo	formula
hablo	habla
incluyo	incluye
incremento	incrementa
voy	va
lloro	llora
logro	logra
ocurro	ocurre
opero	opera
pago	paga
puedo	puede
preparo	prepara
pruebo	prueba
protejo	protege
reconozco	reconoce
reemplazo	reemplaza
respeto	respeta
saco	saca
selecciono	selecciona
trabajo	trabaja
verifico	verifica
vuelvo	vuelve
