acordar	acordaréis
actuar	actuaréis
adoptar	adoptaréis
agradecer	agradeceréis
apoyar	apoyaréis
aprobar	aprobaréis
combatir	combatiréis
compartir	compartiréis
confirmar	confirmaréis
consistir	consistiréis
convertir	convertiréis
correr	correréis
crear	crearéis
destruir	destruiréis
ejecutar	ejecutaréis
elaborar	elaboraréis
escuchar	escucharéis
evaluar	evaluaréis
ganar	ganaréis
hablar	hablaréis
hacer	haréis
incrementar	incrementaréis
indicar	indicaréis
instalar	instalaréis
leer	leeréis
llegar	llegaréis
mencionar	mencionaréis
mirar	miraréis
mostrar	mostraréis
observar	observaréis
obtener	obtendréis
pagar	pagaréis
participar	participaréis
partir	partiréis
pensar	pensaréis
presentar	presentaréis
preservar	preservaréis
prevenir	prevendréis
probar	probaréis
promover	promoveréis
publicar	publicaréis
realizar	realizaréis
reemplazar	reemplazaréis
reforzar	reforzaréis
salvar	salvaréis
seleccionar	seleccionaréis
sobrevivir	sobreviviréis
solicitar	solicitaréis
usar	usaréis
ver	veréis
