adquieren	adquirirías
amplían	ampliarías
atienden	atenderías
aumentan	aumentarías
ayudan	ayudarías
añaden	añadirías
caen	caerías
celebran	celebrarías
cierran	cerrarías
comprenden	comprenderías
conducen	conducirías
consolidan	consolidarías
consultan	consultarías
controlan	controlarías
corren	correrías
cubren	cubrirías
deciden	decidirías
detienen	detendrías
elaboran	elaborarías
entienden	entenderías
establecen	establecerías
están	estarías
estudian	estudiarías
evaden	evadirías
evalúan	evaluarías
explican	explicarías
garantizan	garantizarías
generan	generarías
gestionan	gestionarías
han	habrías
habilitan	habilitarías
hablan	hablarías
intentan	intentarías
van	irías
llevan	llevarías
localizan	localizarías
miden	medirías
obtienen	obtendrías
operan	operarías
oyen	oirías
preguntan	preguntarías
prestan	prestarías
recuperan	recuperarías
reemplazan	reemplazarías
satisfacen	satisfarías
son	serías
solicitan	solicitarías
terminan	terminarías
ven	verías
viajan	viajarías
