administraban	administraré
ampliaban	ampliaré
aseguraban	aseguraré
atendían	atenderé
bebían	beberé
cantaban	cantaré
causaban	causaré
compartían	compartiré
conseguían	conseguiré
conservaban	conservaré
continuaban	continuaré
convertían	convertiré
cooperaban	cooperaré
decidían	decidiré
defendían	defenderé
ejercían	ejerceré
entendían	entenderé
entraban	entraré
evadían	evadiré
evaluaban	evaluaré
explicaban	explicaré
expresaban	expresaré
financiaban	financiaré
imaginaban	imaginaré
involucraban	involucraré
iban	iré
localizaban	localizaré
morían	moriré
obtenían	obtendré
ofrecían	ofreceré
olvidaban	olvidaré
pasaban	pasaré
permanecían	permaneceré
preparaban	prepararé
promocionaban	promocionaré
promovían	promoveré
realizaban	realizaré
reconocían	reconoceré
reemplazaban	reemplazaré
robaban	robaré
salían	saldré
salvaban	salvaré
sentaban	sentaré
servían	serviré
soportaban	soportaré
terminaban	terminaré
traían	traeré
verificaban	verificaré
viajaban	viajaré
vivían	viviré
