actuando	actuaba
administrando	administraba
asegurando	aseguraba
averiguando	averiguaba
añadiendo	añadía
bailando	bailaba
bebiendo	bebía
casando	casaba
causando	causaba
contando	contaba
conteniendo	contenía
creando	creaba
cubriendo	cubría
desarrollando	desarrollaba
desempeñando	desempeñaba
enseñando	enseñaba
esperando	esperaba
evitando	evitaba
existiendo	existía
expresando	expresaba
financiando	financiaba
firmando	firmaba
gastando	gastaba
implicando	implicaba
investigando	investigaba
llegando	llegaba
llorando	lloraba
localizando	localizaba
midiendo	medía
mejorando	mejoraba
mencionando	mencionaba
necesitando	necesitaba
parando	paraba
pareciendo	parecía
pudiendo	podía
proporcionando	proporcionaba
reduciendo	reducía
reemplazando	reemplazaba
regresando	regresaba
respondiendo	respondía
revisando	revisaba
sabiendo	sabía
seleccionando	seleccionaba
sumando	sumaba
terminando	terminaba
trayendo	traía
tratando	trataba
vendiendo	vendía
viendo	veía
verificando	verificaba
