abandonábamos	abandonarían
acelerábamos	acelerarían
actuábamos	actuarían
analizábamos	analizarían
aprendíamos	aprenderían
asistíamos	asistirían
avanzábamos	avanzarían
ayudábamos	ayudarían
comprendíamos	comprenderían
conducíamos	conducirían
confirmábamos	confirmarían
contábamos	contarían
cubríamos	cubrirían
defendíamos	defenderían
designábamos	designarían
ejercíamos	ejercerían
elegíamos	elegirían
enviábamos	enviarían
escribíamos	escribirían
estábamos	estarían
evadíamos	evadirían
evaluábamos	evaluarían
facilitábamos	facilitarían
habíamos	habrían
incorporábamos	incorporarían
intentábamos	intentarían
introducíamos	introducirían
leíamos	leerían
limitábamos	limitarían
llamábamos	llamarían
participábamos	participarían
pasábamos	pasarían
pedíamos	pedirían
perdíamos	perderían
preparábamos	prepararían
preveníamos	prevendrían
recogíamos	recogerían
reducíamos	reducirían
resolvíamos	resolverían
respetábamos	respetarían
revisábamos	revisarían
sentábamos	sentarían
éramos	serían
sufríamos	sufrirían
sugeríamos	sugerirían
sumábamos	sumarían
tocábamos	tocarían
trabajábamos	trabajarían
vendíamos	venderían
verificábamos	verificarían
