abordan	abordaba
analizan	analizaba
aparecen	aparecía
aprenden	aprendía
aprovechan	aprovechaba
avanzan	avanzaba
añaden	añadía
bailan	bailaba
caminan	caminaba
casan	casaba
celebran	celebraba
comprenden	comprendía
comprueban	comprobaba
concluyen	concluía
contienen	contenía
controlan	controlaba
convierten	convertía
cuidan	cuidaba
deciden	decidía
descubren	descubría
destacan	destacaba
detienen	detenía
empiezan	empezaba
encuentran	encontraba
entienden	entendía
escuchan	escuchaba
esperan	esperaba
establecen	establecía
examinan	examinaba
facilitan	facilitaba
forman	formaba
fortalecen	fortalecía
ganan	ganaba
identifican	identificaba
imponen	imponía
van	iba
observan	observaba
obtienen	obtenía
paran	paraba
pierden	perdía
ponen	ponía
prestan	prestaba
proponen	proponía
recogen	recogía
sacan	sacaba
siguen	seguía
sugieren	sugería
unen	unía
vienen	venía
ven	veía
