abría	abrirían
aceleraba	acelerarían
actuaba	actuarían
alcanzaba	alcanzarían
analizaba	analizarían
aparecía	aparecerían
aplicaba	aplicarían
aprovechaba	aprovecharían
avanzaba	avanzarían
ayudaba	ayudarían
cambiaba	cambiarían
consolidaba	consolidarían
cortaba	cortarían
creía	creerían
desarrollaba	desarrollarían
describía	describirían
desempeñaba	desempeñarían
discutía	discutirían
enfrentaba	enfrentarían
establecía	establecerían
estaba	estarían
estudiaba	estudiarían
evaluaba	evaluarían
expresaba	expresarían
firmaba	firmarían
hablaba	hablarían
impedía	impedirían
implicaba	implicarían
incluía	incluirían
iniciaba	iniciarían
iba	irían
manejaba	manejarían
mantenía	mantendrían
medía	medirían
mejoraba	mejorarían
mencionaba	mencionarían
movía	moverían
obtenía	obtendrían
paraba	pararían
pasaba	pasarían
pedía	pedirían
prestaba	prestarían
reducía	reducirían
refería	referirían
reforzaba	reforzarían
satisfacía	satisfarían
sobrevivía	sobrevivirían
solicitaba	solicitarían
venía	vendrían
volaba	volarían
