actuado	actuó
administrado	administró
adquirido	adquirió
aumentado	aumentó
averiguado	averiguó
bailado	bailó
bebido	bebió
buscado	buscó
comenzado	comenzó
confiado	confió
conocido	conoció
consolidado	consolidó
corrido	corrió
creado	creó
dejado	dejó
dependido	dependió
desempeñado	desempeñó
detenido	detuvo
enfrentado	enfrentó
entendido	entendió
escrito	escribió
esperado	esperó
evadido	evadió
examinado	examinó
firmado	firmó
fomentado	fomentó
funcionado	funcionó
ganado	ganó
habilitado	habilitó
hecho	hizo
impedido	impidió
incluido	incluyó
incrementado	incrementó
llegado	llegó
llevado	llevó
localizado	localizó
mejorado	mejoró
muerto	murió
observado	observó
oído	oyó
pensado	pensó
puesto	puso
probado	probó
proporcionado	proporcionó
requerido	requirió
robado	robó
salido	salió
satisfecho	satisfizo
solicitado	solicitó
sumado	sumó
