abordó	abordaría
abrió	abriría
aceleró	aceleraría
actuó	actuaría
anunció	anunciaría
apareció	aparecería
atendió	atendería
averiguó	averiguaría
ayudó	ayudaría
añadió	añadiría
bebió	bebería
celebró	celebraría
compartió	compartiría
confió	confiaría
consolidó	consolidaría
contó	contaría
creyó	creería
cubrió	cubriría
definió	definiría
designó	designaría
elaboró	elaboraría
empezó	empezaría
evitó	evitaría
explicó	explicaría
funcionó	funcionaría
garantizó	garantizaría
gestionó	gestionaría
identificó	identificaría
imaginó	imaginaría
indicó	indicaría
instaló	instalaría
invirtió	invertiría
modificó	modificaría
ofreció	ofrecería
pidió	pediría
promovió	promovería
propuso	propondría
reemplazó	reemplazaría
reforzó	reforzaría
rompió	rompería
sintió	sentiría
fue	sería
solicitó	solicitaría
superó	superaría
terminó	terminaría
usó	usaría
utilizó	utilizaría
vendió	vendería
vino	vendría
votó	votaría
