aceleran	acelerará
bailan	bailará
beben	beberá
caen	caerá
cambian	cambiará
celebran	celebrará
combaten	combatirá
comienzan	comenzará
completan	completará
concluyen	concluirá
confían	confiará
continúan	continuará
cortan	cortará
creen	creerá
cuidan	cuidará
discuten	discutirá
eliminan	eliminará
empiezan	empezará
enfrentan	enfrentará
están	estará
evitan	evitará
financian	financiará
forman	formará
gastan	gastará
hacen	hará
imponen	impondrá
incluyen	incluirá
intentan	intentará
invierten	invertirá
involucran	involucrará
llegan	llegará
llevan	llevará
mencionan	mencionará
observan	observará
organizan	organizará
piensan	pensará
reciben	recibirá
recuperan	recuperará
relacionan	relacionará
resuelven	resolverá
revisan	revisará
roban	robará
saben	sabrá
sacan	sacará
señalan	señalará
sobreviven	sobrevivirá
supervisan	supervisará
terminan	terminará
toman	tomará
unen	unirá
