abandoné	abandonarás
aceleré	acelerarás
aprobé	aprobarás
asumí	asumirás
aumenté	aumentarás
añadí	añadirás
bebí	beberás
cambié	cambiarás
casé	casarás
comencé	comenzarás
compartí	compartirás
comprobé	comprobarás
concluí	concluirás
controlé	controlarás
convertí	convertirás
corté	cortarás
cubrí	cubrirás
dije	dirás
defendí	defenderás
determiné	determinarás
estudié	estudiarás
examiné	examinarás
expresé	expresarás
firmé	firmarás
fortalecí	fortalecerás
funcioné	funcionarás
generé	generarás
hube	habrás
impedí	impedirás
incluí	incluirás
incorporé	incorporarás
incrementé	incrementarás
intenté	intentarás
introduje	introducirás
llegué	llegarás
mencioné	mencionarás
observé	observarás
participé	participarás
puse	pondrás
propuse	propondrás
proporcioné	proporcionarás
realicé	realizarás
requerí	requerirás
resolví	resolverás
revisé	revisarás
señalé	señalarás
sumé	sumarás
traje	traerás
volví	volverás
voté	votarás
