abandonaba	abandonábamos
administraba	administrábamos
alcanzaba	alcanzábamos
alentaba	alentábamos
apoyaba	apoyábamos
aseguraba	asegurábamos
añadía	añadíamos
comenzaba	comenzábamos
compartía	compartíamos
completaba	completábamos
comprendía	comprendíamos
confiaba	confiábamos
continuaba	continuábamos
cuidaba	cuidábamos
decidía	decidíamos
decía	decíamos
designaba	designábamos
destacaba	destacábamos
discutía	discutíamos
ejecutaba	ejecutábamos
eliminaba	eliminábamos
escapaba	escapábamos
expresaba	expresábamos
fallaba	fallábamos
funcionaba	funcionábamos
imaginaba	imaginábamos
incrementaba	incrementábamos
iniciaba	iniciábamos
manejaba	manejábamos
medía	medíamos
moría	moríamos
observaba	observábamos
obtenía	obteníamos
ocurría	ocurríamos
paraba	parábamos
parecía	parecíamos
pensaba	pensábamos
prestaba	prestábamos
reconocía	reconocíamos
recordaba	recordábamos
refería	referíamos
regresaba	regresábamos
resolvía	resolvíamos
sabía	sabíamos
satisfacía	satisfacíamos
sentía	sentíamos
solicitaba	solicitábamos
soportaba	soportábamos
traía	traíamos
utilizaba	utilizábamos
