abandonaban	abandonaríais
abrían	abriríais
accedían	accederíais
aceptaban	aceptaríais
acordaban	acordaríais
adoptaban	adoptaríais
aprovechaban	aprovecharíais
asumían	asumiríais
ayudaban	ayudaríais
buscaban	buscaríais
cantaban	cantaríais
compraban	compraríais
comprendían	comprenderíais
conservaban	conservaríais
continuaban	continuaríais
decían	diríais
definían	definiríais
demostraban	demostraríais
describían	describiríais
elegían	elegiríais
enfrentaban	enfrentaríais
estudiaban	estudiaríais
existían	existiríais
exploraban	exploraríais
firmaban	firmaríais
formaban	formaríais
gestionaban	gestionaríais
hablaban	hablaríais
impedían	impediríais
jugaban	jugaríais
luchaban	lucharíais
mantenían	mantendríais
mencionaban	mencionaríais
morían	moriríais
ocurrían	ocurriríais
perdían	perderíais
permanecían	permaneceríais
podían	podríais
preguntaban	preguntaríais
recordaban	recordaríais
reducían	reduciríais
relacionaban	relacionaríais
respondían	responderíais
señalaban	señalaríais
terminaban	terminaríais
tomaban	tomaríais
traían	traeríais
verificaban	verificaríais
viajaban	viajaríais
vivían	viviríais
