abierto	abren
acordado	acuerdan
aprobado	aprueban
asumido	asumen
atendido	atienden
ayudado	ayudan
buscado	buscan
celebrado	celebran
combatido	combaten
comenzado	comienzan
comprobado	comprueban
conseguido	consiguen
continuado	continúan
cubierto	cubren
cumplido	cumplen
dado	dan
decidido	deciden
descargado	descargan
detenido	detienen
enseñado	enseñan
entendido	entienden
escapado	escapan
escuchado	escuchan
expresado	expresan
fallado	fallan
firmado	firman
generado	generan
guardado	guardan
implicado	implican
incluido	incluyen
iniciado	inician
investigado	investigan
localizado	localizan
muerto	mueren
mostrado	muestran
ocurrido	ocurren
ofrecido	ofrecen
pensado	piensan
perdido	pierden
realizado	realizan
recibido	reciben
representado	representan
respetado	respetan
robado	roban
salido	salen
sentido	sienten
sido	son
servido	sirven
unido	unen
verificado	verifican
