abandonado	abandonaba
acelerado	aceleraba
aceptado	aceptaba
administrado	administraba
analizado	analizaba
animado	animaba
aprobado	aprobaba
atraído	atraía
caído	caía
caminado	caminaba
casado	casaba
combatido	combatía
comenzado	comenzaba
comprendido	comprendía
conducido	conducía
conseguido	conseguía
consolidado	consolidaba
creado	creaba
crecido	crecía
dejado	dejaba
elaborado	elaboraba
estado	estaba
existido	existía
expresado	expresaba
gastado	gastaba
habido	había
habilitado	habilitaba
hablado	hablaba
imaginado	imaginaba
implicado	implicaba
limitado	limitaba
mencionado	mencionaba
ocurrido	ocurría
organizado	organizaba
oído	oía
parecido	parecía
permanecido	permanecía
presentado	presentaba
preservado	preservaba
probado	probaba
respondido	respondía
revisado	revisaba
robado	robaba
roto	rompía
sentado	sentaba
sumado	sumaba
superado	superaba
utilizado	utilizaba
visitado	visitaba
vivido	vivía
