accede	accedían
aprueba	aprobaban
atiende	atendían
cae	caían
comparte	compartían
comprende	comprendían
concluye	concluían
conduce	conducían
confía	confiaban
consigue	conseguían
convierte	convertían
crea	creaban
dice	decían
defiende	defendían
define	definían
elige	elegían
elimina	eliminaban
entra	entraban
escapa	escapaban
escucha	escuchaban
evita	evitaban
explica	explicaban
firma	firmaban
formula	formulaban
habla	hablaban
informa	informaban
intenta	intentaban
involucra	involucraban
va	iban
lee	leían
localiza	localizaban
maneja	manejaban
mata	mataban
muestra	mostraban
necesita	necesitaban
ocurre	ocurrían
ofrece	ofrecían
participa	participaban
parte	partían
prepara	preparaban
promueve	promovían
realiza	realizaban
refuerza	reforzaban
regresa	regresaban
relaciona	relacionaban
requiere	requerían
revisa	revisaban
rompe	rompían
señala	señalaban
verifica	verificaban
