administraste	administrasteis
adoptaste	adoptasteis
anunciaste	anunciasteis
aplicaste	aplicasteis
aprovechaste	aprovechasteis
asististe	asististeis
ayudaste	ayudasteis
bailaste	bailasteis
bebiste	bebisteis
confirmaste	confirmasteis
conociste	conocisteis
consideraste	considerasteis
corriste	corristeis
dijiste	dijisteis
dependiste	dependisteis
destruiste	destruisteis
dormiste	dormisteis
elegiste	elegisteis
estableciste	establecisteis
examinaste	examinasteis
exististe	exististeis
funcionaste	funcionasteis
identificaste	identificasteis
impediste	impedisteis
informaste	informasteis
introdujiste	introdujisteis
invertiste	invertisteis
involucraste	involucrasteis
lograste	lograsteis
mediste	medisteis
mejoraste	mejorasteis
necesitaste	necesitasteis
obtuviste	obtuvisteis
pasaste	pasasteis
pediste	pedisteis
pusiste	pusisteis
preservaste	preservasteis
previniste	previnisteis
quedaste	quedasteis
recibiste	recibisteis
recuperaste	recuperasteis
reemplazaste	reemplazasteis
regresaste	regresasteis
relacionaste	relacionasteis
representaste	representasteis
respondiste	respondisteis
tocaste	tocasteis
trajiste	trajisteis
utilizaste	utilizasteis
viniste	vinisteis
