aceleran	acelerarás
adoptan	adoptarás
analizan	analizarás
aparecen	aparecerás
aplican	aplicarás
aprenden	aprenderás
asumen	asumirás
atraen	atraerás
añaden	añadirás
caen	caerás
compran	comprarás
concluyen	concluirás
conducen	conducirás
confirman	confirmarás
contribuyen	contribuirás
convierten	convertirás
cuidan	cuidarás
descubren	descubrirás
encuentran	encontrarás
entienden	entenderás
envían	enviarás
establecen	establecerás
existen	existirás
firman	firmarás
funcionan	funcionarás
imaginan	imaginarás
impiden	impedirás
involucran	involucrarás
leen	leerás
llegan	llegarás
luchan	lucharás
miden	medirás
modifican	modificarás
muestran	mostrarás
obtienen	obtendrás
organizan	organizarás
participan	participarás
pierden	perderás
promocionan	promocionarás
proporcionan	proporcionarás
protegen	protegerás
proveen	proveerás
quedan	quedarás
reciben	recibirás
reconocen	reconocerás
relacionan	relacionarás
salvan	salvarás
son	serás
sufren	sufrirás
visitan	visitarás
