acelerará	acelerarán
actuará	actuarán
analizará	analizarán
asegurará	asegurarán
caminará	caminarán
causará	causarán
comerá	comerán
comprobará	comprobarán
conducirá	conducirán
confirmará	confirmarán
conocerá	conocerán
conseguirá	conseguirán
controlará	controlarán
convertirá	convertirán
coordinará	coordinarán
dirá	dirán
dependerá	dependerán
desarrollará	desarrollarán
descubrirá	descubrirán
designará	designarán
expresará	expresarán
fallará	fallarán
fortalecerá	fortalecerán
funcionará	funcionarán
generará	generarán
habilitará	habilitarán
llegará	llegarán
logrará	lograrán
matará	matarán
medirá	medirán
mejorará	mejorarán
mencionará	mencionarán
mirará	mirarán
necesitará	necesitarán
ocurrirá	ocurrirán
parecerá	parecerán
prestará	prestarán
prevendrá	prevendrán
protegerá	protegerán
recordará	recordarán
reducirá	reducirán
servirá	servirán
soportará	soportarán
supervisará	supervisarán
tomará	tomarán
utilizará	utilizarán
venderá	venderán
viajará	viajarán
volará	volarán
volverá	volverán
