aceptaban	aceptaría
actuaban	actuaría
adquirían	adquiriría
alcanzaban	alcanzaría
animaban	animaría
asistían	asistiría
aumentaban	aumentaría
cerraban	cerraría
combatían	combatiría
completaban	completaría
comprendían	comprendería
conservaban	conservaría
consultaban	consultaría
convertían	convertiría
cooperaban	cooperaría
corrían	correría
crecían	crecería
detenían	detendría
dirigían	dirigiría
discutían	discutiría
dormían	dormiría
encontraban	encontraría
escuchaban	escucharía
evaluaban	evaluaría
evitaban	evitaría
facilitaban	facilitaría
fallaban	fallaría
fomentaban	fomentaría
fortalecían	fortalecería
implicaban	implicaría
intentaban	intentaría
limitaban	limitaría
limpiaban	limpiaría
llamaban	llamaría
lograban	lograría
mejoraban	mejoraría
observaban	observaría
oían	oiría
partían	partiría
podían	podría
ponían	pondría
prestaban	prestaría
probaban	probaría
realizaban	realizaría
relacionaban	relacionaría
requerían	requeriría
sabían	sabría
unían	uniría
venían	vendría
votaban	votaría
