administra	administraré
adopta	adoptaré
alienta	alentaré
aprovecha	aprovecharé
atrae	atraeré
aumenta	aumentaré
bebe	beberé
cambia	cambiaré
causa	causaré
comienza	comenzaré
come	comeré
concluye	concluiré
conoce	conoceré
construye	construiré
coopera	cooperaré
crea	crearé
cuida	cuidaré
descubre	descubriré
ejecuta	ejecutaré
ejerce	ejerceré
elige	elegiré
evalúa	evaluaré
explica	explicaré
expresa	expresaré
facilita	facilitaré
forma	formaré
fortalece	fortaleceré
llega	llegaré
maneja	manejaré
mira	miraré
oye	oiré
participa	participaré
prueba	probaré
produce	produciré
propone	propondré
proporciona	proporcionaré
provee	proveeré
publica	publicaré
realiza	realizaré
recupera	recuperaré
refuerza	reforzaré
representa	representaré
resuelve	resolveré
señala	señalaré
sobrevive	sobreviviré
supervisa	supervisaré
tiene	tendré
utiliza	utilizaré
viene	vendré
visita	visitaré
