accedido	accedéis
actuado	actuáis
adquirido	adquirís
alcanzado	alcanzáis
animado	animáis
aparecido	aparecéis
asistido	asistís
atendido	atendéis
aumentado	aumentáis
ayudado	ayudáis
cantado	cantáis
combatido	combatís
comido	coméis
comprendido	comprendéis
confiado	confiáis
considerado	consideráis
controlado	controláis
creado	creáis
crecido	crecéis
dado	dais
decidido	decidís
detenido	detenéis
dirigido	dirigís
disfrutado	disfrutáis
ejercido	ejercéis
enfrentado	enfrentáis
escrito	escribís
generado	generáis
leído	leéis
llegado	llegáis
localizado	localizáis
logrado	lográis
manejado	manejáis
mantenido	mantenéis
muerto	morís
observado	observáis
obtenido	obtenéis
permitido	permitís
preservado	preserváis
probado	probáis
reforzado	reforzáis
respetado	respetáis
seleccionado	seleccionáis
sentado	sentáis
sobrevivido	sobrevivís
sufrido	sufrís
superado	superáis
utilizado	utilizáis
vendido	vendéis
venido	venís
