aceleramos	acelerarías
aceptamos	aceptarías
adquirimos	adquirirías
alentamos	alentarías
ampliamos	ampliarías
aprendemos	aprenderías
asumimos	asumirías
atendemos	atenderías
ayudamos	ayudarías
buscamos	buscarías
caemos	caerías
casamos	casarías
causamos	causarías
comenzamos	comenzarías
conocemos	conocerías
conservamos	conservarías
contamos	contarías
contenemos	contendrías
continuamos	continuarías
coordinamos	coordinarías
cubrimos	cubrirías
definimos	definirías
desarrollamos	desarrollarías
desempeñamos	desempeñarías
ejercemos	ejercerías
establecemos	establecerías
existimos	existirías
incluimos	incluirías
iniciamos	iniciarías
investigamos	investigarías
llevamos	llevarías
mantenemos	mantendrías
matamos	matarías
mostramos	mostrarías
operamos	operarías
pagamos	pagarías
paramos	pararías
participamos	participarías
podemos	podrías
prevenimos	prevendrías
producimos	producirías
proponemos	propondrías
representamos	representarías
respondemos	responderías
robamos	robarías
salvamos	salvarías
señalamos	señalarías
sobrevivimos	sobrevivirías
traemos	traerías
venimos	vendrías
