actúa	actuaste
alienta	alentaste
asegura	aseguraste
avanza	avanzaste
baila	bailaste
camina	caminaste
comparte	compartiste
comprende	comprendiste
confía	confiaste
conserva	conservaste
continúa	continuaste
contribuye	contribuiste
corre	corriste
crece	creciste
cubre	cubriste
cuida	cuidaste
decide	decidiste
determina	determinaste
elabora	elaboraste
empieza	empezaste
está	estuviste
evalúa	evaluaste
evita	evitaste
expresa	expresaste
fomenta	fomentaste
gana	ganaste
habilita	habilitaste
involucra	involucraste
llora	lloraste
logra	lograste
maneja	manejaste
mejora	mejoraste
menciona	mencionaste
mueve	moviste
opera	operaste
piensa	pensaste
pone	pusiste
publica	publicaste
recoge	recogiste
recupera	recuperaste
refiere	referiste
relaciona	relacionaste
responde	respondiste
rompe	rompiste
sale	saliste
salva	salvaste
satisface	satisficiste
sirve	serviste
verifica	verificaste
vive	viviste
