animar	animarás
aplicar	aplicarás
apoyar	apoyarás
asumir	asumirás
atender	atenderás
caminar	caminarás
casar	casarás
combatir	combatirás
compartir	compartirás
confiar	confiarás
continuar	continuarás
cubrir	cubrirás
defender	defenderás
describir	describirás
destacar	destacarás
dirigir	dirigirás
disfrutar	disfrutarás
entrar	entrarás
esperar	esperarás
explorar	explorarás
financiar	financiarás
ganar	ganarás
gastar	gastarás
guardar	guardarás
hablar	hablarás
impedir	impedirás
intentar	intentarás
investigar	investigarás
jugar	jugarás
limitar	limitarás
localizar	localizarás
mejorar	mejorarás
parecer	parecerás
pasar	pasarás
permitir	permitirás
presentar	presentarás
preservar	preservarás
producir	producirás
quedar	quedarás
realizar	realizarás
reemplazar	reemplazarás
representar	representarás
requerir	requerirás
revisar	revisarás
satisfacer	satisfarás
sufrir	sufrirás
sumar	sumarás
traer	traerás
usar	usarás
volar	volarás
