acelerábamos	acelerará
actuábamos	actuará
analizábamos	analizará
aparecíamos	aparecerá
aplicábamos	aplicará
conocíamos	conocerá
contábamos	contará
creábamos	creará
dejábamos	dejará
desarrollábamos	desarrollará
desempeñábamos	desempeñará
dormíamos	dormirá
ejecutábamos	ejecutará
ejercíamos	ejercerá
elaborábamos	elaborará
encontrábamos	encontrará
establecíamos	establecerá
generábamos	generará
gestionábamos	gestionará
imaginábamos	imaginará
impedíamos	impedirá
imponíamos	impondrá
indicábamos	indicará
informábamos	informará
limitábamos	limitará
limpiábamos	limpiará
llorábamos	llorará
mejorábamos	mejorará
mirábamos	mirará
ofrecíamos	ofrecerá
olvidábamos	olvidará
organizábamos	organizará
parábamos	parará
parecíamos	parecerá
partíamos	partirá
preparábamos	preparará
promovíamos	promoverá
proponíamos	propondrá
proveíamos	proveerá
recuperábamos	recuperará
reducíamos	reducirá
reforzábamos	reforzará
requeríamos	requerirá
respondíamos	responderá
revisábamos	revisará
satisfacíamos	satisfará
seleccionábamos	seleccionará
sentíamos	sentirá
sufríamos	sufrirá
tocábamos	tocará
