acordaron	acordarán
agradecieron	agradecerán
anunciaron	anunciarán
asistieron	asistirán
asumieron	asumirán
cayeron	caerán
caminaron	caminarán
cantaron	cantarán
casaron	casarán
causaron	causarán
comprobaron	comprobarán
convirtieron	convertirán
cuidaron	cuidarán
defendieron	defenderán
desarrollaron	desarrollarán
desempeñaron	desempeñarán
detuvieron	detendrán
encontraron	encontrarán
enseñaron	enseñarán
establecieron	establecerán
evaluaron	evaluarán
examinaron	examinarán
fomentaron	fomentarán
impidieron	impedirán
implicaron	implicarán
incorporaron	incorporarán
intentaron	intentarán
invirtieron	invertirán
llevaron	llevarán
localizaron	localizarán
miraron	mirarán
olvidaron	olvidarán
pidieron	pedirán
pensaron	pensarán
presentaron	presentarán
propusieron	propondrán
recogieron	recogerán
reconocieron	reconocerán
recuperaron	recuperarán
refirieron	referirán
reforzaron	reforzarán
respondieron	responderán
salvaron	salvarán
siguieron	seguirán
sirvieron	servirán
sobrevivieron	sobrevivirán
solicitaron	solicitarán
unieron	unirán
volvieron	volverán
votaron	votarán
