adoptasteis	adoptarías
asegurasteis	asegurarías
atrajisteis	atraerías
averiguasteis	averiguarías
añadisteis	añadirías
casasteis	casarías
cerrasteis	cerrarías
combatisteis	combatirías
condujisteis	conducirías
conseguisteis	conseguirías
construisteis	construirías
continuasteis	continuarías
controlasteis	controlarías
coordinasteis	coordinarías
corristeis	correrías
creísteis	creerías
destruisteis	destruirías
escapasteis	escaparías
fallasteis	fallarías
fomentasteis	fomentarías
fortalecisteis	fortalecerías
garantizasteis	garantizarías
gastasteis	gastarías
introdujisteis	introducirías
fuisteis	irías
jugasteis	jugarías
luchasteis	lucharías
mantuvisteis	mantendrías
mencionasteis	mencionarías
modificasteis	modificarías
ocurristeis	ocurrirías
organizasteis	organizarías
oísteis	oirías
parasteis	pararías
parecisteis	parecerías
presentasteis	presentarías
preservasteis	preservarías
protegisteis	protegerías
recuperasteis	recuperarías
relacionasteis	relacionarías
robasteis	robarías
salisteis	saldrías
solicitasteis	solicitarías
supervisasteis	supervisarías
trajisteis	traerías
tratasteis	tratarías
utilizasteis	utilizarías
visteis	verías
verificasteis	verificarías
visitasteis	visitarías
