abandonamos	abandonaron
accedemos	accedieron
aceleramos	aceleraron
anunciamos	anunciaron
asumimos	asumieron
atendemos	atendieron
ayudamos	ayudaron
caminamos	caminaron
causamos	causaron
combatimos	combatieron
completamos	completaron
conducimos	condujeron
conseguimos	consiguieron
consideramos	consideraron
consultamos	consultaron
continuamos	continuaron
convertimos	convirtieron
decidimos	decidieron
existimos	existieron
explicamos	explicaron
financiamos	financiaron
formulamos	formularon
gastamos	gastaron
identificamos	identificaron
leemos	leyeron
mencionamos	mencionaron
morimos	murieron
observamos	observaron
obtenemos	obtuvieron
ofrecemos	ofrecieron
olvidamos	olvidaron
paramos	pararon
participamos	participaron
perdemos	perdieron
presentamos	presentaron
proporcionamos	proporcionaron
realizamos	realizaron
recogemos	recogieron
referimos	refirieron
relacionamos	relacionaron
requerimos	requirieron
respetamos	respetaron
rompemos	rompieron
salvamos	salvaron
somos	fueron
soportamos	soportaron
usamos	usaron
visitamos	visitaron
volamos	volaron
votamos	votaron
