acelerabas	acelerará
adoptabas	adoptará
asegurabas	asegurará
asistías	asistirá
ayudabas	ayudará
añadías	añadirá
completabas	completará
comprendías	comprenderá
conducías	conducirá
conservabas	conservará
construías	construirá
convertías	convertirá
cuidabas	cuidará
descubrías	descubrirá
designabas	designará
detenías	detendrá
establecías	establecerá
estabas	estará
evadías	evadirá
explicabas	explicará
explorabas	explorará
expresabas	expresará
fallabas	fallará
financiabas	financiará
formabas	formará
formulabas	formulará
guardabas	guardará
habías	habrá
identificabas	identificará
imaginabas	imaginará
impedías	impedirá
intentabas	intentará
medías	medirá
mencionabas	mencionará
mostrabas	mostrará
obtenías	obtendrá
podías	podrá
preguntabas	preguntará
promovías	promoverá
quedabas	quedará
realizabas	realizará
relacionabas	relacionará
robabas	robará
sacabas	sacará
salvabas	salvará
seguías	seguirá
señalabas	señalará
solicitabas	solicitará
soportabas	soportará
volvías	volverá
