bailábamos	bailaría
cantábamos	cantaría
comíamos	comería
comprendíamos	comprendería
confiábamos	confiaría
consultábamos	consultaría
corríamos	correría
cubríamos	cubriría
decidíamos	decidiría
descargábamos	descargaría
discutíamos	discutiría
eliminábamos	eliminaría
enviábamos	enviaría
escapábamos	escaparía
establecíamos	establecería
examinábamos	examinaría
explicábamos	explicaría
explorábamos	exploraría
firmábamos	firmaría
garantizábamos	garantizaría
gastábamos	gastaría
imaginábamos	imaginaría
invertíamos	invertiría
limpiábamos	limpiaría
llegábamos	llegaría
llevábamos	llevaría
lográbamos	lograría
modificábamos	modificaría
ocurríamos	ocurriría
parecíamos	parecería
perdíamos	perdería
preveníamos	prevendría
probábamos	probaría
promovíamos	promovería
proporcionábamos	proporcionaría
quedábamos	quedaría
reducíamos	reduciría
reemplazábamos	reemplazaría
relacionábamos	relacionaría
representábamos	representaría
resolvíamos	resolvería
sabíamos	sabría
seleccionábamos	seleccionaría
sentábamos	sentaría
servíamos	serviría
sobrevivíamos	sobreviviría
teníamos	tendría
tocábamos	tocaría
traíamos	traería
veíamos	vería
