animó	animasteis
atendió	atendisteis
averiguó	averiguasteis
añadió	añadisteis
bebió	bebisteis
caminó	caminasteis
completó	completasteis
comprobó	comprobasteis
concluyó	concluisteis
consideró	considerasteis
contuvo	contuvisteis
controló	controlasteis
cortó	cortasteis
creó	creasteis
cuidó	cuidasteis
desempeñó	desempeñasteis
detuvo	detuvisteis
dirigió	dirigisteis
durmió	dormisteis
ejerció	ejercisteis
elaboró	elaborasteis
escuchó	escuchasteis
estudió	estudiasteis
expresó	expresasteis
garantizó	garantizasteis
habilitó	habilitasteis
impuso	impusisteis
incrementó	incrementasteis
inició	iniciasteis
intentó	intentasteis
fue	fuisteis
manejó	manejasteis
mejoró	mejorasteis
modificó	modificasteis
observó	observasteis
operó	operasteis
paró	parasteis
pasó	pasasteis
pensó	pensasteis
propuso	propusisteis
recogió	recogisteis
regresó	regresasteis
salvó	salvasteis
satisfizo	satisficisteis
siguió	seguisteis
sumó	sumasteis
supervisó	supervisasteis
trajo	trajisteis
vendió	vendisteis
vino	vinisteis
