abordas/abordás	abordaría
aceleras/acelerás	aceleraría
aprovechas/aprovechás	aprovecharía
atiendes/atendés	atendería
cantas/cantás	cantaría
comienzas/comenzás	comenzaría
compartes/compartís	compartiría
completas/completás	completaría
continúas/continuás	continuaría
coordinas/coordinás	coordinaría
cumples/cumplís	cumpliría
das	daría
defiendes/defendés	defendería
demuestras/demostrás	demostraría
desempeñas/desempeñás	desempeñaría
detienes/detenés	detendría
diriges/dirigís	dirigiría
duermes/dormís	dormiría
enfrentas/enfrentás	enfrentaría
escribes/escribís	escribiría
expresas/expresás	expresaría
facilitas/facilitás	facilitaría
financias/financiás	financiaría
fortaleces/fortalecés	fortalecería
ganas/ganás	ganaría
garantizas/garantizás	garantizaría
has	habría
identificas/identificás	identificaría
impones/imponés	impondría
mueres/morís	moriría
pagas/pagás	pagaría
permaneces/permanecés	permanecería
preguntas/preguntás	preguntaría
prestas/prestás	prestaría
produces/producís	produciría
promueves/promovés	promovería
provees/proveés	proveería
reduces/reducís	reduciría
regresas/regresás	regresaría
representas/representás	representaría
robas/robás	robaría
sientas/sentás	sentaría
sirves/servís	serviría
sobrevives/sobrevivís	sobreviviría
sufres/sufrís	sufriría
utilizas/utilizás	utilizaría
vendes/vendés	vendería
vienes/venís	vendría
verificas/verificás	verificaría
vuelas/volás	volaría
