abordando	abordarían
acordando	acordarían
adoptando	adoptarían
adquiriendo	adquirirían
ampliando	ampliarían
analizando	analizarían
apoyando	apoyarían
aumentando	aumentarían
cambiando	cambiarían
combatiendo	combatirían
completando	completarían
comprando	comprarían
comprendiendo	comprenderían
concluyendo	concluirían
conociendo	conocerían
contando	contarían
conteniendo	contendrían
dando	darían
defendiendo	defenderían
dejando	dejarían
deteniendo	detendrían
determinando	determinarían
discutiendo	discutirían
entrando	entrarían
estudiando	estudiarían
explicando	explicarían
identificando	identificarían
impidiendo	impedirían
incrementando	incrementarían
intentando	intentarían
llamando	llamarían
mencionando	mencionarían
pagando	pagarían
permaneciendo	permanecerían
permitiendo	permitirían
preservando	preservarían
proponiendo	propondrían
proporcionando	proporcionarían
recogiendo	recogerían
revisando	revisarían
sabiendo	sabrían
soportando	soportarían
sufriendo	sufrirían
sugiriendo	sugerirían
sumando	sumarían
trabajando	trabajarían
viniendo	vendrían
viendo	verían
verificando	verificarían
viviendo	vivirían
