acceden	accedieron
actúan	actuaron
agradecen	agradecieron
anuncian	anunciaron
apoyan	apoyaron
aprueban	aprobaron
atienden	atendieron
atraen	atrajeron
cambian	cambiaron
cierran	cerraron
comienzan	comenzaron
comparten	compartieron
compran	compraron
comprueban	comprobaron
consiguen	consiguieron
controlan	controlaron
cooperan	cooperaron
coordinan	coordinaron
cuidan	cuidaron
deciden	decidieron
dependen	dependieron
designan	designaron
destruyen	destruyeron
disfrutan	disfrutaron
escapan	escaparon
evalúan	evaluaron
fallan	fallaron
fomentan	fomentaron
forman	formaron
funcionan	funcionaron
ganan	ganaron
incrementan	incrementaron
integran	integraron
intentan	intentaron
invierten	invirtieron
mejoran	mejoraron
miran	miraron
operan	operaron
pasan	pasaron
preservan	preservaron
promueven	promovieron
protegen	protegieron
reciben	recibieron
regresan	regresaron
relacionan	relacionaron
siguen	siguieron
sirven	sirvieron
tienen	tuvieron
unen	unieron
vuelven	volvieron
