abro	abres/abrís
acepto	aceptas/aceptás
adquiero	adquieres/adquirís
anuncio	anuncias/anunciás
aprovecho	aprovechas/aprovechás
atiendo	atiendes/atendés
atraigo	atraes/atraés
ayudo	ayudas/ayudás
bailo	bailas/bailás
cambio	cambias/cambiás
compro	compras/comprás
construyo	construyes/construís
continúo	continúas/continuás
controlo	controlas/controlás
creo	crees/creés
cubro	cubres/cubrís
decido	decides/decidís
detengo	detienes/detenés
disfruto	disfrutas/disfrutás
duermo	duermes/dormís
elimino	eliminas/eliminás
exploro	exploras/explorás
expreso	expresas/expresás
indico	indicas/indicás
intento	intentas/intentás
introduzco	introduces/introducís
llevo	llevas/llevás
mejoro	mejoras/mejorás
muevo	mueves/movés
ocurro	ocurres/ocurrís
pago	pagas/pagás
paro	paras/parás
pienso	piensas/pensás
presento	presentas/presentás
preservo	preservas/preservás
promociono	promocionas/promocionás
proporciono	proporcionas/proporcionás
realizo	realizas/realizás
reemplazo	reemplazas/reemplazás
requiero	requieres/requerís
rompo	rompes/rompés
siento	sientas/sentás
soy	eres/sos
soporto	soportas/soportás
superviso	supervisas/supervisás
termino	terminas/terminás
traigo	traes/traés
utilizo	utilizas/utilizás
vengo	vienes/venís
voto	votas/votás
