acelerando	aceleró
actuando	actuó
adoptando	adoptó
alentando	alentó
avanzando	avanzó
caminando	caminó
casando	casó
comiendo	comió
comprobando	comprobó
contando	contó
conteniendo	contuvo
dejando	dejó
dependiendo	dependió
descargando	descargó
determinando	determinó
ejerciendo	ejerció
eligiendo	eligió
entrando	entró
garantizando	garantizó
habilitando	habilitó
impidiendo	impidió
iniciando	inició
introduciendo	introdujo
invirtiendo	invirtió
yendo	fue
leyendo	leyó
llevando	llevó
luchando	luchó
obteniendo	obtuvo
ocurriendo	ocurrió
operando	operó
pasando	pasó
pidiendo	pidió
perdiendo	perdió
permitiendo	permitió
poniendo	puso
preservando	preservó
recibiendo	recibió
recogiendo	recogió
refiriendo	refirió
regresando	regresó
requiriendo	requirió
revisando	revisó
robando	robó
siguiendo	siguió
solicitando	solicitó
tocando	tocó
viajando	viajó
viviendo	vivió
volando	voló
