acordé	acordó
adquirí	adquirió
amplié	amplió
asumí	asumió
avancé	avanzó
canté	cantó
causé	causó
comprendí	comprendió
comprobé	comprobó
consideré	consideró
consulté	consultó
controlé	controló
coordiné	coordinó
cuidé	cuidó
cumplí	cumplió
di	dio
dije	dijo
definí	definió
demostré	demostró
dirigí	dirigió
evadí	evadió
formulé	formuló
garanticé	garantizó
generé	generó
indiqué	indicó
fui	fue
llevé	llevó
luché	luchó
mencioné	mencionó
parecí	pareció
pensé	pensó
permití	permitió
pregunté	preguntó
probé	probó
produje	produjo
protegí	protegió
publiqué	publicó
reconocí	reconoció
representé	representó
revisé	revisó
supe	supo
satisfice	satisfizo
seguí	siguió
sentí	sintió
superé	superó
usé	usó
utilicé	utilizó
viajé	viajó
viví	vivió
volví	volvió
