agradecen	agradecíais
alcanzan	alcanzabais
aplican	aplicabais
aprovechan	aprovechabais
atraen	atraíais
ayudan	ayudabais
cierran	cerrabais
comen	comíais
comparten	compartíais
consiguen	conseguíais
continúan	continuabais
contribuyen	contribuíais
defienden	defendíais
definen	definíais
desempeñan	desempeñabais
determinan	determinabais
ejercen	ejercíais
escapan	escapabais
están	estabais
estudian	estudiabais
facilitan	facilitabais
funcionan	funcionabais
generan	generabais
hacen	hacíais
identifican	identificabais
incrementan	incrementabais
juegan	jugabais
llevan	llevabais
miden	medíais
obtienen	obteníais
ocurren	ocurríais
piden	pedíais
piensan	pensabais
preguntan	preguntabais
preparan	preparabais
previenen	preveníais
prueban	probabais
promueven	promovíais
recogen	recogíais
reducen	reducíais
solicitan	solicitabais
sufren	sufríais
supervisan	supervisabais
terminan	terminabais
trabajan	trabajabais
unen	uníais
usan	usabais
ven	veíais
visitan	visitabais
viven	vivíais
