agradecían	agradeció
animaban	animó
aprobaban	aprobó
ayudaban	ayudó
causaban	causó
cerraban	cerró
compraban	compró
conducían	condujo
conocían	conoció
contribuían	contribuyó
cuidaban	cuidó
decían	dijo
desarrollaban	desarrolló
descubrían	descubrió
disfrutaban	disfrutó
enfrentaban	enfrentó
estaban	estuvo
evadían	evadió
existían	existió
expresaban	expresó
financiaban	financió
formaban	formó
identificaban	identificó
imaginaban	imaginó
informaban	informó
localizaban	localizó
mejoraban	mejoró
mencionaban	mencionó
morían	murió
movían	movió
pagaban	pagó
podían	pudo
quedaban	quedó
recibían	recibió
reconocían	reconoció
recuperaban	recuperó
reducían	redujo
reforzaban	reforzó
relacionaban	relacionó
respondían	respondió
sabían	supo
seleccionaban	seleccionó
sentían	sintió
sobrevivían	sobrevivió
solicitaban	solicitó
supervisaban	supervisó
unían	unió
usaban	usó
venían	vino
visitaban	visitó
