actuaste	actuará
administraste	administrará
analizaste	analizará
anunciaste	anunciará
aplicaste	aplicará
asumiste	asumirá
bebiste	beberá
celebraste	celebrará
compartiste	compartirá
condujiste	conducirá
consideraste	considerará
contaste	contará
corriste	correrá
creciste	crecerá
cubriste	cubrirá
definiste	definirá
demostraste	demostrará
detuviste	detendrá
enseñaste	enseñará
enviaste	enviará
escapaste	escapará
escribiste	escribirá
estuviste	estará
fallaste	fallará
fomentaste	fomentará
formulaste	formulará
funcionaste	funcionará
incorporaste	incorporará
iniciaste	iniciará
integraste	integrará
luchaste	luchará
manejaste	manejará
mantuviste	mantendrá
moviste	moverá
paraste	parará
partiste	partirá
previniste	prevendrá
produjiste	producirá
promocionaste	promocionará
redujiste	reducirá
respondiste	responderá
saliste	saldrá
sobreviviste	sobrevivirá
soportaste	soportará
sumaste	sumará
tocaste	tocará
tomaste	tomará
uniste	unirá
viniste	vendrá
viajaste	viajará
