abordamos	abordaría
adquirimos	adquiriría
agradecimos	agradecería
analizamos	analizaría
animamos	animaría
aprobamos	aprobaría
averiguamos	averiguaría
buscamos	buscaría
caímos	caería
caminamos	caminaría
completamos	completaría
comprendimos	comprendería
confiamos	confiaría
conservamos	conservaría
consultamos	consultaría
contribuimos	contribuiría
describimos	describiría
descubrimos	descubriría
designamos	designaría
destacamos	destacaría
dirigimos	dirigiría
enseñamos	enseñaría
entramos	entraría
enviamos	enviaría
escapamos	escaparía
esperamos	esperaría
evitamos	evitaría
examinamos	examinaría
fallamos	fallaría
fortalecimos	fortalecería
imaginamos	imaginaría
impusimos	impondría
integramos	integraría
llamamos	llamaría
mantuvimos	mantendría
modificamos	modificaría
mostramos	mostraría
operamos	operaría
pusimos	pondría
redujimos	reduciría
resolvimos	resolvería
robamos	robaría
sacamos	sacaría
salvamos	salvaría
seleccionamos	seleccionaría
sugerimos	sugeriría
supervisamos	supervisaría
tratamos	trataría
vendimos	vendería
volamos	volaría
