abordabas	abordaría
accedías	accedería
aceptabas	aceptaría
acordabas	acordaría
asumías	asumiría
cerrabas	cerraría
conducías	conduciría
conservabas	conservaría
construías	construiría
creías	creería
dejabas	dejaría
demostrabas	demostraría
dependías	dependería
descargabas	descargaría
describías	describiría
destruías	destruiría
discutías	discutiría
establecías	establecería
evadías	evadiría
evaluabas	evaluaría
explorabas	exploraría
funcionabas	funcionaría
ganabas	ganaría
garantizabas	garantizaría
gestionabas	gestionaría
habías	habría
incorporabas	incorporaría
jugabas	jugaría
leías	leería
localizabas	localizaría
mantenías	mantendría
mejorabas	mejoraría
olvidabas	olvidaría
perdías	perdería
permitías	permitiría
preguntabas	preguntaría
preparabas	prepararía
probabas	probaría
proporcionabas	proporcionaría
recordabas	recordaría
recuperabas	recuperaría
resolvías	resolvería
respetabas	respetaría
eras	sería
sufrías	sufriría
superabas	superaría
tocabas	tocaría
tomabas	tomaría
visitabas	visitaría
volabas	volaría
