accedido	accedía
actuado	actuaba
animado	animaba
aprendido	aprendía
asumido	asumía
avanzado	avanzaba
celebrado	celebraba
cerrado	cerraba
combatido	combatía
comprobado	comprobaba
confiado	confiaba
consolidado	consolidaba
contado	contaba
cooperado	cooperaba
coordinado	coordinaba
cumplido	cumplía
dicho	decía
descrito,descripto	describía
destruido	destruía
disfrutado	disfrutaba
enseñado	enseñaba
evitado	evitaba
explorado	exploraba
fallado	fallaba
fomentado	fomentaba
ganado	ganaba
garantizado	garantizaba
implicado	implicaba
intentado	intentaba
investigado	investigaba
leído	leía
limpiado	limpiaba
llorado	lloraba
ocurrido	ocurría
parado	paraba
permitido	permitía
podido	podía
preguntado	preguntaba
prevenido	prevenía
promovido	promovía
propuesto	proponía
proporcionado	proporcionaba
recuperado	recuperaba
sabido	sabía
sacado	sacaba
sugerido	sugería
supervisado	supervisaba
usado	usaba
vendido	vendía
venido	venía
